CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-01-01 00:00,mm,55.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-02-01 00:00,mm,260.1,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-03-01 00:00,mm,113.9,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-04-01 00:00,mm,254,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-05-01 00:00,mm,266.2,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-06-01 00:00,mm,167,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-07-01 00:00,mm,170.9,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-08-01 00:00,mm,169.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-09-01 00:00,mm,352.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-10-01 00:00,mm,374.4,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-11-01 00:00,mm,173.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1984-12-01 00:00,mm,97,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-01-01 00:00,mm,50.9,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-02-01 00:00,mm,101.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-03-01 00:00,mm,123.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-04-01 00:00,mm,179.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-05-01 00:00,mm,179,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-06-01 00:00,mm,128.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-07-01 00:00,mm,98,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-08-01 00:00,mm,145.1,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-09-01 00:00,mm,240.1,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-10-01 00:00,mm,338.4,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-11-01 00:00,mm,123.5,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1985-12-01 00:00,mm,172.2,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1986-01-01 00:00,mm,93.9,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1986-02-01 00:00,mm,209,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1986-03-01 00:00,mm,155.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1986-04-01 00:00,mm,540.8,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1986-06-01 00:00,mm,97.8,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1986-12-01 00:00,mm,96.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-01-01 00:00,mm,101.9,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-02-01 00:00,mm,79.5,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-03-01 00:00,mm,204.1,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-04-01 00:00,mm,250.5,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-05-01 00:00,mm,236.8,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-06-01 00:00,mm,91.4,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-07-01 00:00,mm,318.6,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-08-01 00:00,mm,174.9,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-09-01 00:00,mm,297.5,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-10-01 00:00,mm,466,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-11-01 00:00,mm,337.2,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1987-12-01 00:00,mm,88.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-01-01 00:00,mm,55.5,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-03-01 00:00,mm,96.5,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-04-01 00:00,mm,373.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-05-01 00:00,mm,212,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-06-01 00:00,mm,151,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-07-01 00:00,mm,354.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-08-01 00:00,mm,417.5,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-09-01 00:00,mm,289.7,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-10-01 00:00,mm,434.1,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-11-01 00:00,mm,425.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1988-12-01 00:00,mm,189.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-01-01 00:00,mm,174.4,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-02-01 00:00,mm,241.6,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-03-01 00:00,mm,206.2,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-04-01 00:00,mm,194.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-05-01 00:00,mm,271.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-06-01 00:00,mm,141.1,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-07-01 00:00,mm,157.4,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-08-01 00:00,mm,224.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-09-01 00:00,mm,552.3,Preliminar
24025050,CHARALA [24025050],PRECIPITACION,Precipitación total mensual,1989-10-01 00:00,mm,291.8,Preliminar
