IMF,Max,Min,Mean,Std,PE,Freq
Raw,1063.0,0.0,110.3423611111111,109.97349506846321,,
IMF1,332.3036488964603,-330.1266787481246,-1.2281906794471888,53.37481936583499,0.9968428139010979,High
IMF2,359.0431311565982,-292.4556147153036,0.09491535526003628,48.889036769664685,0.8544660630675942,High
IMF3,179.5044873205639,-139.58434425286515,0.6879633270812648,31.494316512802595,0.6720461700047116,High
IMF4,129.06194106485577,-98.40089909667867,-0.17813452072173597,34.9835574425362,0.5412235151771264,High
IMF5,89.09674045922135,-81.62140514311179,-2.0917471896422,34.72741035097001,0.45994235468864025,Low
IMF6,56.62412863579117,-45.82050860483325,2.4106275683642604,27.335182861791562,0.423224994977856,Low
IMF7,116.66876838544252,69.3587829934451,85.91345305629063,17.621812600536913,0.37652885958966587,Low
IMF8,134.77889382286634,92.53441673430463,111.09236336039824,13.598590383930881,-0.0,Low
Residual,-61.51246409085566,-117.80539131089125,-86.35888916647221,11.98010865870491,0.9977251049847937,High
